ReplicaSet,Solution,Experiment,SmocId,RestoreDurationInSec,VmPeak,VmSize,VmHWM,VmRSS,VmData,DeltaMemoryUsageInKbFromTop
4,distributed,3,smoc2,42.884,5728,5052,14416,19096,11856,2436
4,distributed,3,smoc3,43.819,7052,3040,21644,23864,11768,2436
4,distributed,3,smoc4,43.246,5280,4912,17016,22996,10432,2436
4,distributed,3,smoc5,25.924,900,1076,6488,3112,4544,2434
4,distributed,4,smoc1,43.585,4260,6484,9260,18960,11584,2438
4,distributed,4,smoc2,42.362,3988,9748,12508,19676,14112,2436
4,distributed,4,smoc3,42.463,3160,5108,11772,16932,8496,2435
4,distributed,4,smoc4,41.938,6552,7860,13336,19392,12320,2439
4,distributed,4,smoc5,26.849,5496,1028,9436,10040,5804,2435
4,distributed,5,smoc1,42.74,4888,9044,13004,23548,16352,2435
4,distributed,5,smoc2,43.062,7492,5256,22760,20416,11320,2435
4,distributed,5,smoc3,41.543,6868,6700,16540,26168,14320,2436
4,distributed,5,smoc4,42.787,6432,10876,12828,21112,18188,2436
4,distributed,5,smoc5,24.152,8484,5408,7416,7344,10704,2441
4,distributed,6,smoc1,42.679,5524,2484,5200,18440,9488,2439
4,distributed,6,smoc2,41.877,5664,5420,7524,19984,13008,2440
4,distributed,6,smoc3,42.009,7820,7560,22972,25032,15272,2435
4,distributed,6,smoc4,42.226,7092,7116,23428,25144,13892,2435
4,distributed,6,smoc5,25.317,7228,4736,18096,16640,10416,2436
4,distributed,7,smoc1,42.282,1764,4960,12348,17136,8348,2435
4,distributed,7,smoc2,41.104,5720,4912,18416,21720,10772,2437
4,distributed,7,smoc3,41.728,2500,6748,12596,20464,14060,2436
4,distributed,7,smoc4,42.066,6868,4548,18260,24288,10884,2435
4,distributed,7,smoc5,25.976,11428,3540,6576,4404,8188,2440
4,distributed,8,smoc1,43.023,1764,5900,3884,20164,12524,2442
4,distributed,8,smoc2,42.487,5272,5156,12800,15432,11840,2436
4,distributed,8,smoc3,41.661,4656,5072,3676,16140,12396,2440
4,distributed,8,smoc4,40.762,5724,8788,17112,27464,17120,2436
4,distributed,8,smoc5,24.252,5600,1028,8248,12676,6128,2436
4,distributed,9,smoc1,43.324,2852,2540,9248,16908,9168,2438
4,distributed,9,smoc2,42.2,3188,4308,10560,17632,11116,2436
4,distributed,9,smoc3,42.536,4992,4528,1944,14836,8036,2438
4,distributed,9,smoc4,41.799,4724,4912,12208,21720,12104,2436
4,distributed,9,smoc5,25.109,2780,2340,10240,7072,7108,2438
4,distributed,10,smoc1,42.883,776,5524,11440,19284,12136,2439
4,distributed,10,smoc2,41.651,5208,5264,5508,19728,12520,2438
4,distributed,10,smoc3,41.166,3380,4188,14028,19100,9192,2434
4,distributed,10,smoc4,41.127,9696,5144,24720,23348,12828,2437
4,distributed,10,smoc5,25.567,5348,5160,13608,13516,10024,2440
